Date,Accession Number,Author,Title-Edition-ISBN,Publisher Details,Year,Pages,ISBN,Supplier,Call Number,Price,Bill No. & date,
15-May-05,50,"Liu, C. L.",Element of discrete mathematics .-2nd .-9780070434769,"Tata McGraw-Hill Publishing Company Limited, Delhi",2000,"xiv, 433 p.",9.78007E+12,Union Book Stall,"511.1LIU",350,"O:15-May-2005B:T-23/200515-May-2011",
,51,,,,,,,,,,,
15-May-05,52,"Spiegel, Murray R.; Schiller, John J. & Srinivasan, R. Alu",Probability and statistics .-2nd .-9780070532854,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"viii, 408 p.",9.78007E+12,Union Book Stall,"519.23SPI",450,"B:T-22/200515-May-2005",
,53,,,,,,,,,,,
15-May-05,54,"Temes, Lloyd & Schultz, Mitchel E.",Schaum's outline of theory and problems of electronic communications .-2nd .-9780070532854,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"vi, 178 p.",9.78007E+12,Union Book Stall,"621.382 076TEM",300,"B:T-22/200515-May-2005",
,55,,,,,,,,,,,
15-May-05,56,"Lipschutz, Seymour & Lipson, Marc Lars",Discrete mathematics .-2nd .-9780070601741,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1997,,9.78007E+12,Union Book Stall,"511.1LIP",900,"B:T-23/200515-May-2005",
,57,,,,,,,,,,,
,58,,,,,,,,,,,
,59,,,,,,,,,,,
15-May-05,60,"Kahate, Atul",Object-oriented analysis & design .-1st .-9780070583764,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xxiii, 424 p.",9.78007E+12,Union Book Stall,"005.117KAH",675,"B:T-22/200515-May-2005",
,61,,,,,,,,,,,
,62,,,,,,,,,,,
15-May-05,63,"Lipschutz, Seymour",Schaum's outline of theory and problems of data structures .-1st .-9780070991309,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1986,344 p.,9.78007E+12,Union Book Stall,"005.73LIP","1,194.00","B:T-23/200515-May-2005",
,64,,,,,,,,,,,
,65,,,,,,,,,,,
,66,,,,,,,,,,,
,67,,,,,,,,,,,
,68,,,,,,,,,,,
15-May-05,69,"Sharma, S. P.",Basic radio and television .-2nd,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,700p,,Union Book Stall,"621.388SHA",195,"B:T-22/200515-May-2005",
15-May-05,70,"Bhattacharya, S. K. & Chatterjee, S.",Industrial electronics and control .-1st .-9780074624777,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1995,"xiii, 649 p.",9.78007E+12,Union Book Stall,"621.381BHA","1,791.00","B:T-21/200515-May-2005",
,71,,,,,,,,,,,
,72,,,,,,,,,,,
,73,,,,,,,,,,,
,74,,,,,,,,,,,
,75,,,,,,,,,,,
,76,,,,,,,,,,,
,77,,,,,,,,,,,
,78,,,,,,,,,,,
15-May-05,79,"Schuler, Charles A. & Chugani, Mahesh L.",Digital signal processing .-1st .-9780070589667,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2005,"xv, 288 p.",9.78007E+12,Union Book Stall,"621.382 2SCH",750,"B:T-22/200515-May-2005",
,80,,,,,,,,,,,
,81,,,,,,,,,,,
15-May-05,82,"Nagrath, I. J. & Gopal, M.",Systems : modelling and analysis .-1st,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1982,"xii, 647 p.",,Union Book Stall,"003.3NAG",650,"B:T-23/200515-May-2005",
,83,,,,,,,,,,,
15-May-05,84,"Alciatore, David G. & Histand, Michael B.",Introduction to mechatronics and measurement systems .-2nd .-9780070529106,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxi, 466 p.",9.78007E+12,Union Book Stall,"620.101ALC",590,"B:T-21/200515-May-2005",
,85,,,,,,,,,,,
15-May-05,86,"Karunakaran, S.",Mechatronics .-1st .-9780074636435,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"xviii, 461 p.",9.78007E+12,Union Book Stall,"620.101KAR",735,"B:T-22/200515-May-2005",
,87,,,,,,,,,,,
,88,,,,,,,,,,,
15-May-05,89,"Salivahanan, S.; Vallavaraj, A. & Gnanapriya, C.",Digital signal processing .-1st .-9780074639962,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2000,"xiii, 808 p.",9.78007E+12,Union Book Stall,"621.382 2SAL","1,800.00","B:T-23/200515-May-2005",
,90,,,,,,,,,,,
,91,,,,,,,,,,,
,92,,,,,,,,,,,
,93,,,,,,,,,,,
,94,,,,,,,,,,,
,95,,,,,,,,,,,
,96,,,,,,,,,,,
15-May-05,97,"Deshmukh, Ajay V.",Microcontrollers : theory and applications .-1st .-9780070585959,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2005,"xix, 334 p.",9.78007E+12,Union Book Stall,"004.145DES",450,"B:T-21/200515-May-2005",
,98,,,,,,,,,,,
15-May-05,99,"Ram, Badri",Advanced microprocessors and interfacing .-1st .-9780070434486,"Tata McGraw-Hill Publishing Company Limited, Delhi",2001,"xv, 388 p.",9.78007E+12,Union Book Stall,"004.16RAM",320,"B:T-21/200515-May-2005",
,100,,,,,,,,,,,
15-May-05,101,"Hall, Douglas V.",Microprocessors and interfacing : programming and hardware .-2nd .-9780070601673,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xiv, 624 p.",9.78007E+12,Union Book Stall,"004.16HAL","1,475.00","B:T-22/200515-May-2005",
,102,,,,,,,,,,,
,103,,,,,,,,,,,
,104,,,,,,,,,,,
,105,,,,,,,,,,,
15-May-05,106,"Bhattacharya, S. K. & Chatterjee, S.",Industrial electronics and control .-1st .-9780074624777,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1995,"xiii, 649 p.",9.78007E+12,Union Book Stall,"621.381BHA",199,"B:T-21/200515-May-2005",
15-May-05,107,"Antoniou, Andreas","Digital filters : analysis, design and applications .-2nd .-9780074635124","Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xxii, 689 p.",9.78007E+12,Union Book Stall,"621.381 532 4ANT",520,"B:T-21/200515-May-2005",
,108,,,,,,,,,,,
15-May-05,109,"Cohen, Bernard L.",Concept of nuclear physics .-1st .-9780070992498,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2005,"xii, 435 p.",9.78007E+12,Union Book Stall,"539.7COH",430,"B:T-21/200515-May-2005",
,110,,,,,,,,,,,
15-May-05,111,"Beiser, Arthur",Concept of modern physics .-6th .-9780070495395,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 542 p.",9.78007E+12,Union Book Stall,"621BEI",550,"B:T-21/200515-May-2005",
,112,,,,,,,,,,,
15-May-05,113,"Millman, Jacob & Halkias, Christos C.",Integrated electronics : analog and digital circuits and systems .-1st .-9780074622452,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1972,"xv, 910 p.",9.78007E+12,Union Book Stall,"621.381 73MIL",570,"B:T-23/200515-May-2005",
,114,,,,,,,,,,,
15-May-05,115,"Neamen, Donald A.",Electronic circuit analysis and design .-2nd .-9780070486515,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xxx, 1231 p.",9.78007E+12,Union Book Stall,"621.381 5NEA",990,"B:T-23/200515-May-2005",
,116,,,,,,,,,,,
15-May-05,117,"Hillier, Frederick S. & Liberman, Gerald J.",Introduction to operations research .-7th .-9780070473874,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2001,"xxix, 1214 p.",9.78007E+12,Union Book Stall,"658.403 2HIL",525,"B:T-22/200515-May-2005",
15-May-05,118,"Bhargava, N. N.; Kulshreshtha, D. C. & Gupta, S. C.",Basic electronics and liner circuits .-1st .-9780074519653,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1984,"xiii, 490 p.",9.78007E+12,Union Book Stall,"621.381 32BHA","1,700.00","B:T-21/200515-May-2005",
,119,,,,,,,,,,,
,120,,,,,,,,,,,
,121,,,,,,,,,,,
,122,,,,,,,,,,,
,123,,,,,,,,,,,
,124,,,,,,,,,,,
,125,,,,,,,,,,,
,126,,,,,,,,,,,
,127,,,,,,,,,,,
15-May-05,128,"Sen, P. C.",Power Electronics .-1st .-9780074624005,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1987,"xv, 1031 p.",9.78007E+12,Union Book Stall,"621.317SEN",650,"B:T-22/200515-May-2005",
,129,,,,,,,,,,,
15-May-05,130,"Cathey, Jimmie J.",Schaum's outline of theory and problems of electronic devices and circuits .-2nd .-9780070583993,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"vii, 310 p.",9.78007E+12,Union Book Stall,"621.381 33CAT",525,"B:T-21/200515-May-2005",
,131,,,,,,,,,,,
,132,,,,,,,,,,,
15-May-05,133,"Salivahanan, S.; Kumar, N. Suresh & Vallavaraj, A.",Electronic devices and circuits .-1st .-9780074633861,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"xv, 705 p.",9.78007E+12,Union Book Stall,"621.381 33SAL",420,"B:T-23/200515-May-2005",
,134,,,,,,,,,,,
15-May-05,135,"Millman, Jacob & Halkias, Christos C.",Electronic devices and circuits .-1st,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1991,"xiii, 752 p.",,Union Book Stall,"621.381 33MIL",705,"B:T-23/200515-May-2005",
,136,,,,,,,,,,,
,137,,,,,,,,,,,
15-May-05,138,"Franco, Sergio",Design with operational amplifiers and analog integrated circuits .-3rd .-9780070530447,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xiv, 658 p.",9.78007E+12,Union Book Stall,"621.381 5FRA",250,"B:T-22/200515-May-2005",
15-May-05,139,"Grob, Bernard & Schultz, Mitchel E.",Basic electronics .-9th .-9780070495098,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xi, 1060 p.",9.78007E+12,Union Book Stall,"621.381GRO",575,"B:T-22/200515-May-2005",
15-May-05,140,"Grob, Bernard & Schultz, Mitchel E.",Basic electronics .-9th .-9780070495098,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xi, 1060 p.",9.78007E+12,Union Book Stall,"621.381GRO","1,185.00","B:T-22/200515-May-2005",
,141,,,,,,,,,,,
,142,,,,,,,,,,,
15-May-05,143,BHEL,Transformers .-2nd .-9780070483156,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxvi, 614 p.",9.78007E+12,Union Book Stall,"621.314BHE",450,"B:T-21/200515-May-2005",
15-May-05,144,"Frenzel, Louis E.",Communication electronics : principles and applications .-3rd .-9780070483989,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xii, 532 p.",9.78007E+12,Union Book Stall,"621.382FRE",520,"B:T-22/200515-May-2005",
,145,,,,,,,,,,,
15-May-05,146,"Curtin, Dennis P.; Foley, Kim; Sen, Kunal & Morin, Cathleen",Information technology : the braking wave .-1st .-9780074635582,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"xx, 300 p.",9.78007E+12,Union Book Stall,"004CUR",796,"B:T-21/200515-May-2005",
,147,,,,,,,,,,,
,148,,,,,,,,,,,
,149,,,,,,,,,,,
15-May-05,150,"Hayt, William H. & Buck, John A.",Engineering electromagnetics .-6th .-9780070445802,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2001,"xiii, 560 p.",9.78007E+12,Union Book Stall,"621.34HAY","1,050.00","B:T-22/200515-May-2005",
,151,,,,,,,,,,,
,152,,,,,,,,,,,
,153,,,,,,,,,,,
,154,,,,,,,,,,,
15-May-05,155,"Neamen, Donald A.",Semiconductor physics and devices : basic principles .-3rd .-9780070529052,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xxiv, 746 p.",9.78007E+12,Union Book Stall,"621NEA","1,625.00","B:T-23/200515-May-2005",
,156,,,,,,,,,,,
,157,,,,,,,,,,,
,158,,,,,,,,,,,
,159,,,,,,,,,,,
15-May-05,160,"Millman, Jacob & Grabel, Arvin",Microelectronics : digital and analog circuits and systems .-2nd .-9780074637364,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xx, 1001 p.",9.78007E+12,Union Book Stall,"621.381MIL","1,725.00","B:T-23/200515-May-2005",
,161,,,,,,,,,,,
,162,,,,,,,,,,,
,163,,,,,,,,,,,
,164,,,,,,,,,,,
15-May-05,165,"Malvino, Albert Paul & Brown, Jerald",Digital computer electronics .-3rd .-9780074622353,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1993,"vi, 522 p.",9.78007E+12,Union Book Stall,"621.381 958MAL",590,"B:T-23/200515-May-2005",
,166,,,,,,,,,,,
15-May-05,167,"Roberts, Michael J.",Signals and systems : analysis using transform methods and MATLAB .-1st .-9780072930443,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xvii, 1054 p.",9.78007E+12,Union Book Stall,"621.382 23ROB",395,"B:T-23/200515-May-2005",
15-May-05,168,"Hsu, Hwei P.",Schaum's outline of theory and problems of signals and systems .-1st .-9780070586130,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"ix, 466 p.",9.78007E+12,Union Book Stall,"621.382 23HSU",500,"B:T-22/200515-May-2005",
,169,,,,,,,,,,,
15-May-05,170,"Nelson, E. W.; Best, C. L. & Mclean, W. G.",Schaum's outline of theory and problems of engineering mechanics .-5th .-9780070586123,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"viii, 518 p.",9.78007E+12,Union Book Stall,"620.1NEL",500,"B:T-23/200515-May-2005",
,171,,,,,,,,,,,
15-May-05,172,"Malvino, Albert Paul",ELectronic principles .-6th .-9780074637289,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xi, 1012 p.",9.78007E+12,Union Book Stall,"621.381MAL","4,250.00","B:T-23/200515-May-2005",
,173,,,,,,,,,,,
,174,,,,,,,,,,,
,175,,,,,,,,,,,
,176,,,,,,,,,,,
,177,,,,,,,,,,,
,178,,,,,,,,,,,
,179,,,,,,,,,,,
,180,,,,,,,,,,,
,181,,,,,,,,,,,
15-May-05,182,"Mohan, Krishna & Sharma, R. C.",Business correspondence and report writing .-3rd .-0-07-044555-9,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 431p",0-07-044555-9,Union Book Stall,"651.7MOH",875,"B:T-22/200515-May-2005",
,183,,,,,,,,,,,
,184,,,,,,,,,,,
,185,,,,,,,,,,,
,186,,,,,,,,,,,
15-May-05,187,"Bracewell, Ronald N.",The fourier transform and its applications .-1st .-9780070582859,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xx, 616 p.",9.78007E+12,Union Book Stall,"515.723BRA",975,"B:T-21/200515-May-2005",
,188,,,,,,,,,,,
,189,,,,,,,,,,,
15-May-05,190,"Dhake, Arvind",Television and video engineering .-2nd .-9780074601051,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1995,"xix, 646 p.",9.78007E+12,Union Book Stall,"621.388 33DHA",500,"B:T-21/200515-May-2005",
,191,,,,,,,,,,,
15-May-05,192,"Dhamdhere, Dhananjay M.",Operating systems : a concept-based approach .-1st .-9780070482944,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xiv, 806 p.+",9.78007E+12,Union Book Stall,"005.43DHA",550,"B:T-21/200515-May-2005",
,193,,,,,,,,,,,
15-May-05,194,"Veerarajan, T.","Probability, statistics and random processes .-1st .-9780070494824","Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 693 p.",9.78007E+12,Union Book Stall,"519.23VEE","1,075.00","B:T-22/200515-May-2005",
,195,,,,,,,,,,,
,196,,,,,,,,,,,
,197,,,,,,,,,,,
,198,,,,,,,,,,,
15-May-05,199,"Peebles, Peyton Z.","Probability, random variables and random signal principles .-4th .-9780070474284","Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 462 p.",9.78007E+12,Union Book Stall,"519.23PEE",250,"B:T-23/200515-May-2005",
15-May-05,200,"Godbole, Achyut S.",Operating systems with case studies in UNIX MetWare Windows NT .-1st .-9780074621295,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1996,"xvii, 722 p.",9.78007E+12,Union Book Stall,"005.43GOD","1,175.00","B:T-22/200515-May-2005",
,201,,,,,,,,,,,
,202,,,,,,,,,,,
,203,,,,,,,,,,,
,204,,,,,,,,,,,
15-May-05,205,"Post, Gerald V.",Database management systems .-2nd .-9780070484009,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xxi, 568 p.",9.78007E+12,Union Book Stall,"005.74POS","1,300.00","B:T-23/200515-May-2005",
,206,,,,,,,,,,,
,207,,,,,,,,,,,
,208,,,,,,,,,,,
15-May-05,209,"Chapra, Steven C. & Canale, Raymond P.",Numerical methods for engineers : with personal computer applications .-4th .-9780072431933,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 926 p.",9.78007E+12,Union Book Stall,"518CHA","2,125.00","B:T-21/200515-May-2005",
,210,,,,,,,,,,,
,211,,,,,,,,,,,
,212,,,,,,,,,,,
,213,,,,,,,,,,,
15-May-05,214,"Hayt, William H.; Durbin, Steven M. & Kemmerly, Jack E.",Engineering circuit analysis .-6th .-9780070486478,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 781 p.",9.78007E+12,Union Book Stall,"621.319 2HAY","1,500.00","B:T-22/200515-May-2005",
,215,,,,,,,,,,,
,216,,,,,,,,,,,
,217,,,,,,,,,,,
15-May-05,218,"Schildt, Herbert",Java 2 : the complete reference .-5th .-9780071661744,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,1154 p.,9.78007E+12,Union Book Stall,"005.133SCH",425,"B:T-22/200515-May-2005",
15-May-05,219,"Schildt, Herbert",C++ : the complete reference .-4th .-9780072226805,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxxii, 1023 p.",9.78007E+12,Union Book Stall,"005.134SCH",395,"B:T-22/200515-May-2005",
15-May-05,220,"Ravichandran, D.",Programming with C++ .-2nd .-9780070494886,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xix, 685 p.",9.78007E+12,Union Book Stall,"005.134RAV",430,"B:T-23/200515-May-2005",
,221,,,,,,,,,,,
15-May-05,222,"Balagurusamy, E.",Object-oriented programming with C++ .-2nd .-9780070402119,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2001,"xiv, 533 p.",9.78007E+12,Union Book Stall,"005.134BAL",975,"O:15-May-2005B:T-21/200515-May-2005",
,223,,,,,,,,,,,
,224,,,,,,,,,,,
,225,,,,,,,,,,,
,226,,,,,,,,,,,
15-May-05,227,"Hubbard, John R.",Schaum's outline of theory and problems of programming with C++ .-2nd .-9780070473775,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"ix, 422 p.",9.78007E+12,Union Book Stall,"005.134HUB","1,990.00","B:T-22/200515-May-2005",
,228,,,,,,,,,,,
,229,,,,,,,,,,,
,230,,,,,,,,,,,
,231,,,,,,,,,,,
,232,,,,,,,,,,,
,233,,,,,,,,,,,
,234,,,,,,,,,,,
,235,,,,,,,,,,,
,236,,,,,,,,,,,
15-May-05,237,"Kumar, Ram & Agarwal, Rakesh",Programming in ANSI C .-1st .-9780314895639,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1993,"xxii, 452 p.",9.78031E+12,Union Book Stall,"005.135KUM",450,"B:T-23/200515-May-2005",
,238,,,,,,,,,,,
15-May-05,239,"Balagurusamy, E.",Programming in ANSI C .-3rd .-9780070534773,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1989,"xiv, 493 p.",9.78007E+12,Union Book Stall,"005.135BAL",925,"B:T-21/200515-May-2005",
,240,,,,,,,,,,,
,241,,,,,,,,,,,
,242,,,,,,,,,,,
,243,,,,,,,,,,,
15-May-05,244,"Gottfried, Byron S.",Schaum's outline of theory and problems of programming with C .-2nd .-9780074634912,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"vii, 532 p.",9.78007E+12,Union Book Stall,"005.135GOT",765,"B:T-22/200515-May-2005",
,245,,,,,,,,,,,
,246,,,,,,,,,,,
15-May-05,247,"Bradley, Julia Case & Millspaugh, Anita C.","Programming in Visual Basic, version 6.0 .-1st .-9780074635216","Tata McGraw-Hill Publishing Company Limited, New Delhi",2000,"xx, 684 p.",9.78007E+12,Union Book Stall,"005.276 8BRA",790,"B:T-21/200515-May-2005",
,248,,,,,,,,,,,
15-May-05,249,"Keiser, Gerd",Local area networks .-2nd .-9780070495098,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xix, 379 p.",9.78007E+12,Union Book Stall,"004.68KEI",275,"B:T-23/200515-May-2005",
15-May-05,250,"Martin, John C.",Introduction to languages and the theory of computation .-3rd .-9780070499393,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 543 p.",9.78007E+12,Union Book Stall,"511.35MAR",235,"B:T-23/200515-May-2005",
15-May-05,251,"Norton, Peter",Peter Norton's introduction to computers .-5th .-9780070531420,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xxvi, 588 p.",9.78007E+12,Union Book Stall,"004NOR",295,"B:T-23/200515-May-2005",
15-May-05,252,"Xiang, Zhigang & Plastock, Roy",Schaum's outline of theory and problems of computer graphics .-2nd .-9780071357814,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2006,"ix, 347 p.",9.78007E+12,Union Book Stall,"006.6XIA",398,"B:T-23/200515-May-2005",
,253,,,,,,,,,,,
15-May-05,254,"Shapiro, Jeffrey R.",Visual Basic .NET : the complete reference .-1st .-9780070495111,"Tata McGraw-Hill Publishing Company Limited, Delhi",2002,"xxx, 901 p.",9.78007E+12,Union Book Stall,"005.276 8SHA",450,"B:T-22/200515-May-2005",
15-May-05,255,"Powell, Thomos A.",HTML & XHTML : the complete reference .-4th .-9780070582811,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxiv, 944 p.",9.78007E+12,Union Book Stall,"006.74POW",465,"B:T-23/200515-May-2005",
15-May-05,256,"Powell, Thomos A.",Web design : the complete reference .-2nd .-9780072224429,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxv, 914 p.",9.78007E+12,Union Book Stall,"006.76POW",450,"B:T-23/200515-May-2005",
15-May-05,257,"Schildt, Herbert",Java 2 : the complete reference .-5th .-9780071661744,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,1154 p.,9.78007E+12,Union Book Stall,"005.133SCH",395,"B:T-22/200515-May-2005",
